date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:32:10	161896/161896	---M--	200	added ('OK')	font/ttf	etag:%220l1-dgaorp001-hksbkj1-gsfmf6%22	https://trace-it.nl/wp-content/uploads/fonts/Poppins-SemiBoldItalic.ttf	C:/Users/nisi/Documents/Websites/Trace-IT/trace-it.nl/wp-content/uploads/fonts/Poppins-SemiBoldItalic.ttf	(from https://trace-it.nl/)
15:32:10	160224/160224	---M--	200	added ('OK')	font/ttf	etag:%220l1-ggaorp001-hksbkj1-4fl7p6%22	https://trace-it.nl/wp-content/uploads/fonts/Poppins-BoldItalic.ttf	C:/Users/nisi/Documents/Websites/Trace-IT/trace-it.nl/wp-content/uploads/fonts/Poppins-BoldItalic.ttf	(from https://trace-it.nl/)
15:32:11	158708/158708	---M--	200	added ('OK')	font/ttf	etag:%220l1-lgaorp001-hksbkj1-4fl7p6%22	https://trace-it.nl/wp-content/uploads/fonts/Poppins-ExtraBoldItalic.ttf	C:/Users/nisi/Documents/Websites/Trace-IT/trace-it.nl/wp-content/uploads/fonts/Poppins-ExtraBoldItalic.ttf	(from https://trace-it.nl/)
15:32:11	155956/155956	---M--	200	added ('OK')	font/ttf	etag:%220l1-rgaorp001-hksbkj1-4fl7p6%22	https://trace-it.nl/wp-content/uploads/fonts/Poppins-BlackItalic.ttf	C:/Users/nisi/Documents/Websites/Trace-IT/trace-it.nl/wp-content/uploads/fonts/Poppins-BlackItalic.ttf	(from https://trace-it.nl/)
15:32:11	3539/3539	---M--	200	added ('OK')	image/png	etag:%220l1-bhaorp001-hksbkj1-o1ro27%22	https://trace-it.nl/wp-content/uploads/2024/09/Logo3-Dun-150x150.png	C:/Users/nisi/Documents/Websites/Trace-IT/trace-it.nl/wp-content/uploads/2024/09/Logo3-Dun-150x150.png	(from https://trace-it.nl/)
15:32:11	8219/8219	---M--	200	added ('OK')	image/png	etag:%220l1-8gaorp001-hksbkj1-gsfmf6%22	https://trace-it.nl/wp-content/uploads/2024/09/Logo3-Dun.png	C:/Users/nisi/Documents/Websites/Trace-IT/trace-it.nl/wp-content/uploads/2024/09/Logo3-Dun.png	(from https://trace-it.nl/)
15:32:12	626144/626144	---M--	200	added ('OK')	image/jpeg	etag:%220l1-unaorp001-hksbkj1-lm72f9%22	https://trace-it.nl/wp-content/uploads/2024/09/workperch-6JV-sb6Du_I-unsplash-scaled.jpg	C:/Users/nisi/Documents/Websites/Trace-IT/trace-it.nl/wp-content/uploads/2024/09/workperch-6JV-sb6Du_I-unsplash-scaled.jpg	(from https://trace-it.nl/)
15:32:12	93392/93392	---MCZ	200	added ('OK')	text/html	date:Thu,%2026%20Jun%202025%2013:32:12%20GMT	https://trace-it.nl/contact/	C:/Users/nisi/Documents/Websites/Trace-IT/trace-it.nl/contact/index.html	(from https://trace-it.nl/)
15:32:12	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2026%20Jun%202025%2013:32:12%20GMT	https://trace-it.nl/contact	C:/Users/nisi/Documents/Websites/Trace-IT/trace-it.nl/contact.43.delayed	(from https://trace-it.nl/)
15:32:13	4776/4776	---M-Z	200	added ('OK')	text/javascript	etag:%220l1-ddc23o001-3ockfj1-0%22	https://trace-it.nl/wp-includes/js/dist/hooks.min.js?ver=4d63a3d491d11ffd8ac6	C:/Users/nisi/Documents/Websites/Trace-IT/trace-it.nl/wp-includes/js/dist/hooks.min4fdd.js	(from https://trace-it.nl/)
